type,raw_padyam_text,class,satakam,lg_data,chandassu_score,n_aksharaalu_score,n_paadalu_score,gana_kramam_score,yati_score,prasa_score
mattebhamu,"తెగువన్నిర్జరుల\న్‌ జయించుచు మదోద్రేకంబున\న్‌ గానలో
మృగనేత్రి\న్‌ ధరణీతనూజ నసురు ల్మెచ్చంగఁ దాఁదెచ్చి నె
వ్వగలం బెట్టి విధిప్రయత్నమున నిర్వంశంబుగా రాముచే
జగతిం గూలఁడె యాదశాననుఁడు కృష్ణా దేవకీనందనా.",vruttamu,Devakinandana,"[('తె', '|'), ('గు', '|'), ('వ', 'U'), ('న్ని', 'U'), ('ర్జ', '|'), ('రు', '|'), ('ల', 'U'), ('న్జ', '|'), ('యిం', 'U'), ('చు', '|'), ('చు', '|'), ('మ', '|'), ('దో', 'U'), ('ద్రే', 'U'), ('కం', 'U'), ('బు', '|'), ('న', 'U'), ('న్గా', 'U'), ('న', '|'), ('లో', 'U'), ('మృ', '|'), ('గ', '|'), ('నే', 'U'), ('త్రి', 'U'), ('న్ధ', '|'), ('ర', '|'), ('ణీ', 'U'), ('త', '|'), ('నూ', 'U'), ('జ', '|'), ('న', '|'), ('సు', '|'), ('రు', 'U'), ('ల్మె', 'U'), ('చ్చం', 'U'), ('గ', '|'), ('దా', 'U'), ('దె', 'U'), ('చ్చి', '|'), ('నె', 'U'), ('వ్వ', '|'), ('గ', '|'), ('లం', 'U'), ('బె', 'U'), ('ట్టి', '|'), ('వి', '|'), ('ధి', '|'), ('ప్ర', '|'), ('య', 'U'), ('త్న', '|'), ('ము', '|'), ('న', '|'), ('ని', 'U'), ('ర్వం', 'U'), ('శం', 'U'), ('బు', '|'), ('గా', 'U'), ('రా', 'U'), ('ము', '|'), ('చే', 'U'), ('జ', '|'), ('గ', '|'), ('తిం', 'U'), ('గూ', 'U'), ('ల', '|'), ('డె', '|'), ('యా', 'U'), ('ద', '|'), ('శా', 'U'), ('న', '|'), ('ను', '|'), ('డు', '|'), ('కృ', 'U'), ('ష్ణా', 'U'), ('దే', 'U'), ('వ', '|'), ('కీ', 'U'), ('నం', 'U'), ('ద', '|'), ('నా', 'U')]",0.9928571428571429,1.0,1.0,0.9642857142857143,1.0,1.0
mattebhamu,"పరనారీహరణం బొనర్చినమహాపాపాత్ముఁ డారావణుం
డరయ న్నాతని తమ్ముఁడైన దనుజుం డత్యంతసద్భక్తితో
శరణన్నం దయఁజూచి యగ్రజునిరాజ్యం బిచ్చి రక్షింప వా
సరణి\న్‌ నీపదభక్తియే ఘనము కృష్ణా దేవకీనందనా.",vruttamu,Devakinandana,"[('ప', '|'), ('ర', '|'), ('నా', 'U'), ('రీ', 'U'), ('హ', '|'), ('ర', '|'), ('ణం', 'U'), ('బొ', '|'), ('న', 'U'), ('ర్చి', '|'), ('న', '|'), ('మ', '|'), ('హా', 'U'), ('పా', 'U'), ('పా', 'U'), ('త్ము', '|'), ('డా', 'U'), ('రా', 'U'), ('వ', '|'), ('ణుం', 'U'), ('డ', '|'), ('ర', '|'), ('య', 'U'), ('న్నా', 'U'), ('త', '|'), ('ని', '|'), ('త', 'U'), ('మ్ము', '|'), ('డై', 'U'), ('న', '|'), ('ద', '|'), ('ను', '|'), ('జుం', 'U'), ('డ', 'U'), ('త్యం', 'U'), ('త', '|'), ('స', 'U'), ('ద్భ', 'U'), ('క్తి', '|'), ('తో', 'U'), ('శ', '|'), ('ర', '|'), ('ణ', 'U'), ('న్నం', 'U'), ('ద', '|'), ('య', '|'), ('జూ', 'U'), ('చి', '|'), ('య', '|'), ('గ్ర', '|'), ('జు', '|'), ('ని', '|'), ('రా', 'U'), ('జ్యం', 'U'), ('బి', 'U'), ('చ్చి', '|'), ('ర', 'U'), ('క్షిం', 'U'), ('ప', '|'), ('వా', 'U'), ('స', '|'), ('ర', '|'), ('ణి', 'U'), ('న్నీ', 'U'), ('ప', '|'), ('ద', '|'), ('భ', 'U'), ('క్తి', '|'), ('యే', 'U'), ('ఘ', '|'), ('న', '|'), ('ము', '|'), ('కృ', 'U'), ('ష్ణా', 'U'), ('దే', 'U'), ('వ', '|'), ('కీ', 'U'), ('నం', 'U'), ('ద', '|'), ('నా', 'U')]",0.9928571428571429,1.0,1.0,0.9642857142857143,1.0,1.0
mattebhamu,"వెఱచైన\న్‌ మఱచైనఁ గార్యముతఱి\న్‌ వేసారుచున్నైన యా
దరమొప్పైనను మాయనైన నృపతుల్‌ దండింపఁగా నైనను\న్‌
పరిహాసంబుననైన మిమ్మునుడువ\న్‌ బ్రాపించు పుణ్యాత్మకుల్‌
నరకావాసముఁ జేరరా ఘనులు కృష్ణా దేవకీనందనా.",vruttamu,Devakinandana,"[('వె', '|'), ('ఱ', '|'), ('చై', 'U'), ('న', 'U'), ('న్మ', '|'), ('ఱ', '|'), ('చై', 'U'), ('న', '|'), ('గా', 'U'), ('ర్య', '|'), ('ము', '|'), ('త', '|'), ('ఱి', 'U'), ('న్వే', 'U'), ('సా', 'U'), ('రు', '|'), ('చు', 'U'), ('న్నై', 'U'), ('న', '|'), ('యా', 'U'), ('ద', '|'), ('ర', '|'), ('మొ', 'U'), ('ప్పై', 'U'), ('న', '|'), ('ను', '|'), ('మా', 'U'), ('య', '|'), ('నై', 'U'), ('న', '|'), ('నృ', '|'), ('ప', '|'), ('తు', 'U'), ('ల్దం', 'U'), ('డిం', 'U'), ('ప', '|'), ('గా', 'U'), ('నై', 'U'), ('న', '|'), ('నున్', 'U'), ('ప', '|'), ('రి', '|'), ('హా', 'U'), ('సం', 'U'), ('బు', '|'), ('న', '|'), ('నై', 'U'), ('న', '|'), ('మి', 'U'), ('మ్ము', '|'), ('ను', '|'), ('డు', '|'), ('వ', 'U'), ('న్బ్రా', 'U'), ('పిం', 'U'), ('చు', '|'), ('పు', 'U'), ('ణ్యా', 'U'), ('త్మ', '|'), ('కుల్', 'U'), ('న', '|'), ('ర', '|'), ('కా', 'U'), ('వా', 'U'), ('స', '|'), ('ము', '|'), ('జే', 'U'), ('ర', '|'), ('రా', 'U'), ('ఘ', '|'), ('ను', '|'), ('లు', '|'), ('కృ', 'U'), ('ష్ణా', 'U'), ('దే', 'U'), ('వ', '|'), ('కీ', 'U'), ('నం', 'U'), ('ద', '|'), ('నా', 'U')]",0.95,1.0,1.0,1.0,1.0,0.75
mattebhamu,"నొసట\న్‌ గన్నులఁగట్టి వేల్పుసతి నెంతోభక్తితోఁ జూఁడఁగా
నిసుమంతైన భయంబులేక తలమీఁ దెక్క న్నదట్లుండనీ
వసుధ\న్‌ భర్తను స్త్రీల కెవ్వరయిన\న్‌ వశ్యాత్ములై మట్టులే
కస మియ్యం దల కెక్క కుండుదురె కృష్ణా దేవకీనందనా.",vruttamu,Devakinandana,"[('నొ', '|'), ('స', '|'), ('ట', 'U'), ('న్గ', 'U'), ('న్ను', '|'), ('ల', '|'), ('గ', 'U'), ('ట్టి', '|'), ('వే', 'U'), ('ల్పు', '|'), ('స', '|'), ('తి', '|'), ('నెం', 'U'), ('తో', 'U'), ('భ', 'U'), ('క్తి', '|'), ('తో', 'U'), ('జూ', 'U'), ('డ', '|'), ('గా', 'U'), ('ని', '|'), ('సు', '|'), ('మం', 'U'), ('తై', 'U'), ('న', '|'), ('భ', '|'), ('యం', 'U'), ('బు', '|'), ('లే', 'U'), ('క', '|'), ('త', '|'), ('ల', '|'), ('మీ', 'U'), ('దె', 'U'), ('క్క', 'U'), ('న్న', '|'), ('ద', 'U'), ('ట్లుం', 'U'), ('డ', '|'), ('నీ', 'U'), ('వ', '|'), ('సు', '|'), ('ధ', 'U'), ('న్భ', 'U'), ('ర్త', '|'), ('ను', 'U'), ('స్త్రీ', 'U'), ('ల', '|'), ('కె', 'U'), ('వ్వ', '|'), ('ర', '|'), ('యి', '|'), ('న', 'U'), ('న్వ', 'U'), ('శ్యా', 'U'), ('త్ము', '|'), ('లై', 'U'), ('మ', 'U'), ('ట్టు', '|'), ('లే', 'U'), ('క', '|'), ('స', '|'), ('మి', 'U'), ('య్యం', 'U'), ('ద', '|'), ('ల', '|'), ('కె', 'U'), ('క్క', '|'), ('కుం', 'U'), ('డు', '|'), ('దు', '|'), ('రె', '|'), ('కృ', 'U'), ('ష్ణా', 'U'), ('దే', 'U'), ('వ', '|'), ('కీ', 'U'), ('నం', 'U'), ('ద', '|'), ('నా', 'U')]",0.8428571428571429,1.0,1.0,0.9642857142857143,0.25,1.0
mattebhamu,"కరితో దోమ మృగేంద్రుతో నరుఁడు బంగారంబుతోఁ గంచు భా
స్కరుతో మిణ్గురుబుర్వు కల్పకముతోఁ గానుంగు రత్నాకరే
శ్వరుతో నూషరపల్వలంబు నురుశేషస్వామితో మిడ్తయు\న్‌
సరియైన\న్‌ సరి మీకు దైవములు కృష్ణా దేవకీనందనా.",vruttamu,Devakinandana,"[('క', '|'), ('రి', '|'), ('తో', 'U'), ('దో', 'U'), ('మ', '|'), ('మృ', '|'), ('గేం', 'U'), ('ద్రు', '|'), ('తో', 'U'), ('న', '|'), ('రు', '|'), ('డు', '|'), ('బం', 'U'), ('గా', 'U'), ('రం', 'U'), ('బు', '|'), ('తో', 'U'), ('గం', 'U'), ('చు', '|'), ('భా', 'U'), ('స్క', '|'), ('రు', '|'), ('తో', 'U'), ('మి', 'U'), ('ణ్గు', '|'), ('రు', '|'), ('బు', 'U'), ('ర్వు', '|'), ('క', 'U'), ('ల్ప', '|'), ('క', '|'), ('ము', '|'), ('తో', 'U'), ('గా', 'U'), ('నుం', 'U'), ('గు', '|'), ('ర', 'U'), ('త్నా', 'U'), ('క', '|'), ('రే', 'U'), ('శ్వ', '|'), ('రు', '|'), ('తో', 'U'), ('నూ', 'U'), ('ష', '|'), ('ర', '|'), ('ప', 'U'), ('ల్వ', '|'), ('లం', 'U'), ('బు', '|'), ('ను', '|'), ('రు', '|'), ('శే', 'U'), ('ష', 'U'), ('స్వా', 'U'), ('మి', '|'), ('తో', 'U'), ('మి', 'U'), ('డ్త', '|'), ('యున్', 'U'), ('స', '|'), ('రి', '|'), ('యై', 'U'), ('న', 'U'), ('న్స', '|'), ('రి', '|'), ('మీ', 'U'), ('కు', '|'), ('దై', 'U'), ('వ', '|'), ('ము', '|'), ('లు', '|'), ('కృ', 'U'), ('ష్ణా', 'U'), ('దే', 'U'), ('వ', '|'), ('కీ', 'U'), ('నం', 'U'), ('ద', '|'), ('నా', 'U')]",1.0,1.0,1.0,1.0,1.0,1.0
mattebhamu,"నుతలోకప్రతిసృష్ట నిర్మలకళానూత్నాబ్జగర్భు\న్‌ మహా
ప్రతిభు\న్‌ గౌశికుఁ గుక్కమాంసము భుజింపం జేసి మాలాతని\న్‌
బతిమాలించవె చండచండతరశుంభత్వంబు పాల్మాలునా
శతఁ బొందించవె దేవదేవమయ కృష్ణా దేవకీనందనా.",vruttamu,Devakinandana,"[('ను', '|'), ('త', '|'), ('లో', 'U'), ('క', '|'), ('ప్ర', '|'), ('తి', '|'), ('సృ', 'U'), ('ష్ట', '|'), ('ని', 'U'), ('ర్మ', '|'), ('ల', '|'), ('క', '|'), ('ళా', 'U'), ('నూ', 'U'), ('త్నా', 'U'), ('బ్జ', '|'), ('గ', 'U'), ('ర్భు', 'U'), ('న్మ', '|'), ('హా', 'U'), ('ప్ర', '|'), ('తి', '|'), ('భు', 'U'), ('న్గౌ', 'U'), ('శి', '|'), ('కు', '|'), ('గు', 'U'), ('క్క', '|'), ('మాం', 'U'), ('స', '|'), ('ము', '|'), ('భు', '|'), ('జిం', 'U'), ('పం', 'U'), ('జే', 'U'), ('సి', '|'), ('మా', 'U'), ('లా', 'U'), ('త', '|'), ('నిన్', 'U'), ('బ', '|'), ('తి', '|'), ('మా', 'U'), ('లిం', 'U'), ('చ', '|'), ('వె', '|'), ('చం', 'U'), ('డ', '|'), ('చం', 'U'), ('డ', '|'), ('త', '|'), ('ర', '|'), ('శుం', 'U'), ('భ', 'U'), ('త్వం', 'U'), ('బు', '|'), ('పా', 'U'), ('ల్మా', 'U'), ('లు', '|'), ('నా', 'U'), ('శ', '|'), ('త', '|'), ('బొం', 'U'), ('దిం', 'U'), ('చ', '|'), ('వె', '|'), ('దే', 'U'), ('వ', '|'), ('దే', 'U'), ('వ', '|'), ('మ', '|'), ('య', '|'), ('కృ', 'U'), ('ష్ణా', 'U'), ('దే', 'U'), ('వ', '|'), ('కీ', 'U'), ('నం', 'U'), ('ద', '|'), ('నా', 'U')]",0.9928571428571429,1.0,1.0,0.9642857142857143,1.0,1.0
mattebhamu,"వరభోగాధ్వరదానధర్మగుణముల్‌ వర్జించి తృష్ణారతి\న్‌
నరులత్యంతము మూఢలోభమతులై నారీరతిం గూర్పఁగాఁ
దరముం గాని ధనంబు తస్కరవరు\న్‌ ధాత్రీశులుం జేకొన\న్‌
సరఘవ్రాతము జేర్చుతేనెక్రియఁ గృష్ణా దేవకీనందనా.",vruttamu,Devakinandana,"[('వ', '|'), ('ర', '|'), ('భో', 'U'), ('గా', 'U'), ('ధ్వ', '|'), ('ర', '|'), ('దా', 'U'), ('న', '|'), ('ధ', 'U'), ('ర్మ', '|'), ('గు', '|'), ('ణ', '|'), ('ము', 'U'), ('ల్వ', 'U'), ('ర్జిం', 'U'), ('చి', '|'), ('తృ', 'U'), ('ష్ణా', 'U'), ('ర', '|'), ('తిన్', 'U'), ('న', '|'), ('రు', '|'), ('ల', 'U'), ('త్యం', 'U'), ('త', '|'), ('ము', '|'), ('మూ', 'U'), ('ఢ', '|'), ('లో', 'U'), ('భ', '|'), ('మ', '|'), ('తు', '|'), ('లై', 'U'), ('నా', 'U'), ('రీ', 'U'), ('ర', '|'), ('తిం', 'U'), ('గూ', 'U'), ('ర్ప', '|'), ('గా', 'U'), ('ద', '|'), ('ర', '|'), ('ముం', 'U'), ('గా', 'U'), ('ని', '|'), ('ధ', '|'), ('నం', 'U'), ('బు', '|'), ('త', 'U'), ('స్క', '|'), ('ర', '|'), ('వ', '|'), ('రు', 'U'), ('న్ధా', 'U'), ('త్రీ', 'U'), ('శు', '|'), ('లుం', 'U'), ('జే', 'U'), ('కొ', '|'), ('నన్', 'U'), ('స', '|'), ('ర', '|'), ('ఘ', '|'), ('వ్రా', 'U'), ('త', '|'), ('ము', '|'), ('జే', 'U'), ('ర్చు', '|'), ('తే', 'U'), ('నె', '|'), ('క్రి', '|'), ('య', '|'), ('గృ', 'U'), ('ష్ణా', 'U'), ('దే', 'U'), ('వ', '|'), ('కీ', 'U'), ('నం', 'U'), ('ద', '|'), ('నా', 'U')]",0.9928571428571429,1.0,1.0,0.9642857142857143,1.0,1.0
mattebhamu,"ఖలవాక్యప్రతిపాలకుల్‌ పరధనాకాంక్షుల్‌ పరస్త్రీరతుల్‌
కులధర్మౌఘనిబద్ధచిత్తులు నయాకూపారపారంగతుల్‌
కలుషుల్‌ రాజులు వారిసేవకులకెల్లం గల్గు నత్యంతని
శ్చలసౌఖ్యంబులు నిన్భజింపఁగను కృష్ణా దేవకీనందనా.",vruttamu,Devakinandana,"[('ఖ', '|'), ('ల', '|'), ('వా', 'U'), ('క్య', '|'), ('ప్ర', '|'), ('తి', '|'), ('పా', 'U'), ('ల', '|'), ('కు', 'U'), ('ల్ప', '|'), ('ర', '|'), ('ధ', '|'), ('నా', 'U'), ('కాం', 'U'), ('క్షు', 'U'), ('ల్ప', '|'), ('ర', 'U'), ('స్త్రీ', 'U'), ('ర', '|'), ('తుల్', 'U'), ('కు', '|'), ('ల', '|'), ('ధ', 'U'), ('ర్మౌ', 'U'), ('ఘ', '|'), ('ని', '|'), ('బ', 'U'), ('ద్ధ', '|'), ('చి', 'U'), ('త్తు', '|'), ('లు', '|'), ('న', '|'), ('యా', 'U'), ('కూ', 'U'), ('పా', 'U'), ('ర', '|'), ('పా', 'U'), ('రం', 'U'), ('గ', '|'), ('తుల్', 'U'), ('క', '|'), ('లు', '|'), ('షు', '|'), ('ల్రా', 'U'), ('జు', '|'), ('లు', '|'), ('వా', 'U'), ('రి', '|'), ('సే', 'U'), ('వ', '|'), ('కు', '|'), ('ల', '|'), ('కె', 'U'), ('ల్లం', 'U'), ('గ', 'U'), ('ల్గు', '|'), ('న', 'U'), ('త్యం', 'U'), ('త', '|'), ('ని', 'U'), ('శ్చ', '|'), ('ల', '|'), ('సౌ', 'U'), ('ఖ్యం', 'U'), ('బు', '|'), ('లు', '|'), ('ని', 'U'), ('న్భ', '|'), ('జిం', 'U'), ('ప', '|'), ('గ', '|'), ('ను', '|'), ('కృ', 'U'), ('ష్ణా', 'U'), ('దే', 'U'), ('వ', '|'), ('కీ', 'U'), ('నం', 'U'), ('ద', '|'), ('నా', 'U')]",0.9357142857142857,1.0,1.0,0.9285714285714286,0.75,1.0
saardulamu,"బొంకు ల్లక్షలు నిత్యసంభరితసంభోగారతుల్‌ దుర్మదా
హంకారంబులు కోట్లసంఖ్యయగు మోహంబాయనంతంబు దు
ష్పంకాభార మపార మిన్నిగల భూపవ్రాతసర్పాళి ని
శ్శంకం బ్రాజ్ఞులు చేర వోవుదురె కృష్ణా దేవకీనందనా.",vruttamu,Devakinandana,"[('బొం', 'U'), ('కు', 'U'), ('ల్ల', 'U'), ('క్ష', '|'), ('లు', '|'), ('ని', 'U'), ('త్య', '|'), ('సం', 'U'), ('భ', '|'), ('రి', '|'), ('త', '|'), ('సం', 'U'), ('భో', 'U'), ('గా', 'U'), ('ర', '|'), ('తు', 'U'), ('ల్దు', 'U'), ('ర్మ', '|'), ('దా', 'U'), ('హం', 'U'), ('కా', 'U'), ('రం', 'U'), ('బు', '|'), ('లు', '|'), ('కో', 'U'), ('ట్ల', '|'), ('సం', 'U'), ('ఖ్య', '|'), ('య', '|'), ('గు', '|'), ('మో', 'U'), ('హం', 'U'), ('బా', 'U'), ('య', '|'), ('నం', 'U'), ('తం', 'U'), ('బు', '|'), ('దు', 'U'), ('ష్పం', 'U'), ('కా', 'U'), ('భా', 'U'), ('ర', '|'), ('మ', '|'), ('పా', 'U'), ('ర', '|'), ('మి', 'U'), ('న్ని', '|'), ('గ', '|'), ('ల', '|'), ('భూ', 'U'), ('ప', '|'), ('వ్రా', 'U'), ('త', '|'), ('స', 'U'), ('ర్పా', 'U'), ('ళి', '|'), ('ని', 'U'), ('శ్శం', 'U'), ('కం', 'U'), ('బ్రా', 'U'), ('జ్ఞు', '|'), ('లు', '|'), ('చే', 'U'), ('ర', '|'), ('వో', 'U'), ('వు', '|'), ('దు', '|'), ('రె', '|'), ('కృ', 'U'), ('ష్ణా', 'U'), ('దే', 'U'), ('వ', '|'), ('కీ', 'U'), ('నం', 'U'), ('ద', '|'), ('నా', 'U')]",0.9928571428571429,1.0,1.0,0.9642857142857143,1.0,1.0
saardulamu,"చీమల్‌ పుట్టలు పెట్టుచుండ నవి విస్తీర్ణంబు గావించిన\న్‌
పాముల్‌ జేరినరీతి లోభిజనసంపన్నార్థరాసుల్‌ వృథా
భూమీపాలుల పాలుగాక చనునా పుణ్యంబులే లొల్లరో
సామాన్యంబు ధనాధినాథులకుఁ గృష్ణా దేవకీనందనా.",vruttamu,Devakinandana,"[('చీ', 'U'), ('మ', 'U'), ('ల్పు', 'U'), ('ట్ట', '|'), ('లు', '|'), ('పె', 'U'), ('ట్టు', '|'), ('చుం', 'U'), ('డ', '|'), ('న', '|'), ('వి', '|'), ('వి', 'U'), ('స్తీ', 'U'), ('ర్ణం', 'U'), ('బు', '|'), ('గా', 'U'), ('విం', 'U'), ('చి', '|'), ('నన్', 'U'), ('పా', 'U'), ('ము', 'U'), ('ల్జే', 'U'), ('రి', '|'), ('న', '|'), ('రీ', 'U'), ('తి', '|'), ('లో', 'U'), ('భి', '|'), ('జ', '|'), ('న', '|'), ('సం', 'U'), ('ప', 'U'), ('న్నా', 'U'), ('ర్థ', '|'), ('రా', 'U'), ('సు', 'U'), ('ల్వృ', '|'), ('థా', 'U'), ('భూ', 'U'), ('మీ', 'U'), ('పా', 'U'), ('లు', '|'), ('ల', '|'), ('పా', 'U'), ('లు', '|'), ('గా', 'U'), ('క', '|'), ('చ', '|'), ('ను', '|'), ('నా', 'U'), ('పు', 'U'), ('ణ్యం', 'U'), ('బు', '|'), ('లే', 'U'), ('లొ', 'U'), ('ల్ల', '|'), ('రో', 'U'), ('సా', 'U'), ('మా', 'U'), ('న్యం', 'U'), ('బు', '|'), ('ధ', '|'), ('నా', 'U'), ('ధి', '|'), ('నా', 'U'), ('థు', '|'), ('ల', '|'), ('కు', '|'), ('గృ', 'U'), ('ష్ణా', 'U'), ('దే', 'U'), ('వ', '|'), ('కీ', 'U'), ('నం', 'U'), ('ద', '|'), ('నా', 'U')]",1.0,1.0,1.0,1.0,1.0,1.0
mattebhamu,"అదనం బొద్దులనీడచందమున నిచ్చల్‌ సృక్కి దుష్టాత్ముసం
పద పెంపై ధరనిల్వదించుకయు సౌభాగ్యప్రభాభాసియై
పొదలు\న్‌ మాపటినీడకైవడి భవత్పూజావిధేయజ్ఞుఁడై
సదయుం డైనను లేమి జేకురునె కృష్ణా దేవకీనందనా.",vruttamu,Devakinandana,"[('అ', '|'), ('ద', '|'), ('నం', 'U'), ('బొ', 'U'), ('ద్దు', '|'), ('ల', '|'), ('నీ', 'U'), ('డ', '|'), ('చం', 'U'), ('ద', '|'), ('ము', '|'), ('న', '|'), ('ని', 'U'), ('చ్చ', 'U'), ('ల్సృ', 'U'), ('క్కి', '|'), ('దు', 'U'), ('ష్టా', 'U'), ('త్ము', '|'), ('సం', 'U'), ('ప', '|'), ('ద', '|'), ('పెం', 'U'), ('పై', 'U'), ('ధ', '|'), ('ర', '|'), ('ని', 'U'), ('ల్వ', '|'), ('దిం', 'U'), ('చు', '|'), ('క', '|'), ('యు', '|'), ('సౌ', 'U'), ('భా', 'U'), ('గ్య', '|'), ('ప్ర', '|'), ('భా', 'U'), ('భా', 'U'), ('సి', '|'), ('యై', 'U'), ('పొ', '|'), ('ద', '|'), ('లు', 'U'), ('న్మా', 'U'), ('ప', '|'), ('టి', '|'), ('నీ', 'U'), ('డ', '|'), ('కై', 'U'), ('వ', '|'), ('డి', '|'), ('భ', '|'), ('వ', 'U'), ('త్పూ', 'U'), ('జా', 'U'), ('వి', '|'), ('ధే', 'U'), ('య', 'U'), ('జ్ఞు', '|'), ('డై', 'U'), ('స', '|'), ('ద', '|'), ('యుం', 'U'), ('డై', 'U'), ('న', '|'), ('ను', '|'), ('లే', 'U'), ('మి', '|'), ('జే', 'U'), ('కు', '|'), ('రు', '|'), ('నె', '|'), ('కృ', 'U'), ('ష్ణా', 'U'), ('దే', 'U'), ('వ', '|'), ('కీ', 'U'), ('నం', 'U'), ('ద', '|'), ('నా', 'U')]",0.9428571428571428,1.0,1.0,0.9642857142857143,0.75,1.0
saardulamu,"కీడు\న్‌ మేలును వచ్చుఁ గర్మవశత\న్‌ క్రీడాగతి\న్‌ జోకలై
వాడల్‌ వచ్చును బండ్లునొక్కెడధర న్నొక్కప్పుడు\న్‌ బండ్లపై
వాడల్‌ నౌఁ గద దేశకాలగతి శీతోష్ణంబు లీరీతి నే
జాడ\న్‌ వచ్చును దుఃఖసౌఖ్యములు కృష్ణా దేవకీనందనా.",vruttamu,Devakinandana,"[('కీ', 'U'), ('డు', 'U'), ('న్మే', 'U'), ('లు', '|'), ('ను', '|'), ('వ', 'U'), ('చ్చు', '|'), ('గ', 'U'), ('ర్మ', '|'), ('వ', '|'), ('శ', '|'), ('త', 'U'), ('న్క్రీ', 'U'), ('డా', 'U'), ('గ', '|'), ('తి', 'U'), ('న్జో', 'U'), ('క', '|'), ('లై', 'U'), ('వా', 'U'), ('డ', 'U'), ('ల్వ', 'U'), ('చ్చు', '|'), ('ను', '|'), ('బం', 'U'), ('డ్లు', '|'), ('నొ', 'U'), ('క్కె', '|'), ('డ', '|'), ('ధ', '|'), ('ర', 'U'), ('న్నొ', 'U'), ('క్క', 'U'), ('ప్పు', '|'), ('డు', 'U'), ('న్బం', 'U'), ('డ్ల', '|'), ('పై', 'U'), ('వా', 'U'), ('డ', 'U'), ('ల్నౌ', 'U'), ('గ', '|'), ('ద', '|'), ('దే', 'U'), ('శ', '|'), ('కా', 'U'), ('ల', '|'), ('గ', '|'), ('తి', '|'), ('శీ', 'U'), ('తో', 'U'), ('ష్ణం', 'U'), ('బు', '|'), ('లీ', 'U'), ('రీ', 'U'), ('తి', '|'), ('నే', 'U'), ('జా', 'U'), ('డ', 'U'), ('న్వ', 'U'), ('చ్చు', '|'), ('ను', '|'), ('దుః', 'U'), ('ఖ', '|'), ('సౌ', 'U'), ('ఖ్య', '|'), ('ము', '|'), ('లు', '|'), ('కృ', 'U'), ('ష్ణా', 'U'), ('దే', 'U'), ('వ', '|'), ('కీ', 'U'), ('నం', 'U'), ('ద', '|'), ('నా', 'U')]",0.9,1.0,1.0,1.0,0.5,1.0
saardulamu,"అంతశ్శత్రుల గెల్వలేరు మమతాహంకారము ల్మానలే
రింతే మూర్ఖము వీడలేరు భవదీయాంఘ్రిద్వయీచింతనా
చింతారత్నముఁ గానలే రిలను దుశ్చిత్తు ల్వృథా వేదవే
దాంతంబుల్‌ చదువంగ నేమి యగుఁ గృష్ణా దేవకీనందనా.",vruttamu,Devakinandana,"[('అం', 'U'), ('త', 'U'), ('శ్శ', '|'), ('త్రు', '|'), ('ల', '|'), ('గె', 'U'), ('ల్వ', '|'), ('లే', 'U'), ('రు', '|'), ('మ', '|'), ('మ', '|'), ('తా', 'U'), ('హం', 'U'), ('కా', 'U'), ('ర', '|'), ('ము', 'U'), ('ల్మా', 'U'), ('న', '|'), ('లే', 'U'), ('రిం', 'U'), ('తే', 'U'), ('మూ', 'U'), ('ర్ఖ', '|'), ('ము', '|'), ('వీ', 'U'), ('డ', '|'), ('లే', 'U'), ('రు', '|'), ('భ', '|'), ('వ', '|'), ('దీ', 'U'), ('యాం', 'U'), ('ఘ్రి', 'U'), ('ద్వ', '|'), ('యీ', 'U'), ('చిం', 'U'), ('త', '|'), ('నా', 'U'), ('చిం', 'U'), ('తా', 'U'), ('ర', 'U'), ('త్న', '|'), ('ము', '|'), ('గా', 'U'), ('న', '|'), ('లే', 'U'), ('రి', '|'), ('ల', '|'), ('ను', '|'), ('దు', 'U'), ('శ్చి', 'U'), ('త్తు', 'U'), ('ల్వృ', '|'), ('థా', 'U'), ('వే', 'U'), ('ద', '|'), ('వే', 'U'), ('దాం', 'U'), ('తం', 'U'), ('బు', 'U'), ('ల్చ', '|'), ('దు', '|'), ('వం', 'U'), ('గ', '|'), ('నే', 'U'), ('మి', '|'), ('య', '|'), ('గు', '|'), ('గృ', 'U'), ('ష్ణా', 'U'), ('దే', 'U'), ('వ', '|'), ('కీ', 'U'), ('నం', 'U'), ('ద', '|'), ('నా', 'U')]",0.8928571428571429,1.0,1.0,0.9642857142857143,0.5,1.0
